Production_Unit_Id,percentage_of_paper_defective,percentage_of_rock_defective,percentage_of_scissor_defective
P000,140.0,47.3423980222497,49.11392405063291
P001,39.311594202898554,25.587467362924283,73.4820322180917
P002,68.40958605664488,83.60655737704919,87.37316798196166
P003,54.47761194029851,7.5,30.303030303030305
P004,63.82556987115956,76.51273885350318,42.1875
P006,71.47147147147147,112.21719457013575,33.88429752066116
P007,41.964285714285715,18.786692759295498,46.8421052631579
P008,141.2728418399496,122.28915662650604,83.57733927434755
P009,79.46336429308566,64.24759871931697,38.20224719101123
P012,28.455284552845526,16.97530864197531,15.343915343915343
P014,17.736289381563594,40.666666666666664,83.07533539731682
P020,68.22875297855441,91.1685994647636,84.52579034941763
P022,59.756097560975604,44.01294498381877,25.789473684210527
P024,106.08228980322004,43.39622641509434,138.88130968622102
P030,92.20779220779221,40.27027027027027,66.21004566210046
P031,11.312217194570136,14.465408805031446,82.06521739130434
P041,130.66825775656326,76.759410801964,33.53010625737898
P043,50.0,68.48591549295774,58.431644691186676
P044,34.83742534837425,43.13077939233818,35.83743842364532
P046,36.74641148325359,34.84013230429989,67.96796796796797
P047,49.75609756097561,135.06787330316743,26.889279437609844
P053,93.83259911894272,158.1730769230769,74.85714285714286
P058,69.07894736842105,87.54863813229572,53.01391035548686
P061,115.14563106796116,68.20728291316527,96.25
P062,45.535714285714285,31.213872832369944,18.823529411764707
P063,108.33333333333333,150.65274151436032,20.754716981132077
P064,28.216704288939056,62.86353467561522,47.77070063694268
P065,122.67657992565056,82.73657289002557,101.8
P066,132.18884120171674,124.04040404040404,104.82758620689656
P068,40.40880503144654,61.07226107226107,58.86524822695035
P069,27.77777777777778,41.84149184149184,48.33887043189369
P071,77.75202780996524,71.08333333333333,77.62711864406779
P073,27.93914246196404,40.54054054054054,93.21192052980133
P076,62.19931271477663,68.09421841541756,17.832167832167833
P077,134.52380952380955,33.76623376623377,183.49514563106797
P082,75.26080476900148,21.458773784355177,30.08921330089213
P085,79.53296703296702,51.09677419354839,96.66011787819254
P088,25.76419213973799,26.806526806526808,59.85130111524164
P089,40.95652173913044,37.745098039215684,92.36016371077763
P092,33.65384615384615,91.26506024096386,105.0
P094,69.81891348088531,48.86649874055416,66.35220125786164
P096,21.879588839941263,48.57142857142857,28.884826325411332
P100,94.5945945945946,12.5,34.82587064676617
P102,53.246753246753244,57.859531772575245,58.76494023904383
P103,100.0,23.931623931623932,48.63013698630137
P104,74.11111111111111,73.29842931937172,84.14985590778097
P105,20.76271186440678,56.98324022346368,22.926829268292686
P108,29.87012987012987,64.83126110124334,103.79746835443038
P111,71.83098591549296,167.67676767676767,119.63048498845265
P112,83.38945005611671,93.60902255639097,51.0840108401084
P113,47.61904761904761,35.51912568306011,25.0
P116,24.840764331210192,28.362573099415204,97.9035639412998
P117,37.52759381898454,38.35182250396196,63.678160919540225
P118,68.26568265682657,60.67415730337079,157.93650793650792
P121,39.48497854077253,201.60213618157545,96.92118226600985
P125,39.21568627450981,14.955640050697086,42.755102040816325
P126,95.44468546637745,117.6300578034682,58.88429752066116
P127,49.62901896125309,60.052219321148826,75.62240663900414
P128,30.89005235602094,51.22448979591837,59.5
P129,28.07377049180328,94.0677966101695,22.553897180762853
P132,19.230769230769234,68.0428134556575,24.947145877378436
P133,25.662482566248258,43.803056027164686,19.27860696517413
P134,36.624203821656046,4.10958904109589,52.54988913525499
P135,16.99248120300752,7.857142857142857,29.183673469387756
P136,63.11221326720396,81.2807881773399,64.70099667774086
P139,35.907335907335906,65.74074074074075,53.929539295392956
P142,37.07995365005794,77.79310344827586,69.81519507186859
P143,61.82396606574761,77.23880597014924,89.71583220568336
P144,74.58745874587459,40.37854889589905,107.90441176470588
P145,48.95833333333333,84.23645320197043,80.84677419354838
P146,38.062283737024224,72.95597484276729,24.324324324324326
P149,25.845410628019323,7.231920199501247,32.142857142857146
P151,73.33333333333333,87.82608695652175,77.11864406779661
P152,92.99610894941634,79.37158469945356,34.07534246575342
P155,62.25352112676056,69.87115956392468,63.17365269461078
P156,57.0957095709571,46.18973561430793,51.65562913907284
P157,72.22832052689353,68.15144766146993,95.3813104189044
P159,70.32967032967034,72.69736842105263,64.12556053811659
P160,15.953947368421053,62.813102119460495,62.857142857142854
P161,84.67432950191571,71.36659436008676,32.51366120218579
P163,96.15384615384616,179.93920972644378,70.34700315457413
P167,49.71857410881801,73.19778188539742,26.834862385321102
P169,118.55203619909503,61.30030959752322,99.04761904761905
P170,22.340425531914892,62.66233766233766,19.298245614035086
P173,71.74267100977198,84.64193270060397,35.26522593320236
P175,82.36173393124065,8.837209302325581,62.129144851657934
P179,37.47645951035782,108.0482897384306,46.608315098468275
P180,88.80516684607105,70.0352526439483,75.5939524838013
P182,57.67813267813268,91.86492709132771,73.40823970037454
P184,15.472779369627506,28.143712574850298,2.18978102189781
P185,59.24731182795699,105.4575986565911,80.47464940668824
P186,19.813519813519815,13.91304347826087,50.337078651685395
P187,12.075471698113208,33.13609467455622,43.54838709677419
P188,53.643083421330516,75.24461839530333,26.958831341301458
P189,25.0,64.04494382022472,8.300395256916996
P191,54.513888888888886,73.76681614349776,135.1831298557159
P195,60.48014773776546,93.5,98.96507115135834
P196,20.263157894736842,44.92044063647491,71.31147540983606
P198,58.45070422535211,28.57142857142857,69.9203187250996
P200,6.25,80.0,69.45812807881774
P201,59.2823712948518,72.44546498277842,56.202143950995406
P203,48.43283582089552,48.69047619047619,59.72222222222222
P207,48.40425531914894,9.655172413793103,49.23076923076923
P212,36.44736842105264,69.76744186046511,72.77310924369748
P216,46.49122807017544,54.054054054054056,82.18029350104821
P217,78.68480725623583,42.052565707133915,86.40776699029125
P218,30.185497470489036,58.56236786469344,81.42857142857143
P220,47.82608695652174,62.5,36.0655737704918
P223,5.291005291005291,11.39240506329114,33.57400722021661
P224,39.03061224489796,48.87323943661972,48.208191126279864
P229,67.06349206349206,74.74747474747475,25.0
P233,46.82926829268293,101.34357005758157,32.108108108108105
P234,59.12356321839081,81.70391061452514,74.08975444538527
P236,19.806763285024154,51.843317972350235,68.83365200764818
P237,61.43712574850299,74.06103286384976,29.72677595628415
P238,172.87630402384502,157.2340425531915,91.49453219927096
P239,60.3448275862069,18.5121107266436,121.5846994535519
P240,64.40677966101694,62.47030878859857,70.42459736456809
P242,71.07843137254902,134.4,73.67303609341825
P245,42.40837696335078,101.04166666666667,89.70917225950782
P246,67.3913043478261,14.042553191489363,48.275862068965516
P247,69.66580976863753,78.42465753424658,57.786885245901644
P248,80.28169014084507,101.53374233128834,61.702127659574465
P250,68.2704811443433,71.93211488250653,44.51219512195122
P252,75.5079006772009,75.0,68.33881578947368
P255,77.7602523659306,92.58312020460357,164.4524236983842
P256,64.14565826330532,50.715563506261184,39.549839228295816
P258,78.18181818181819,16.666666666666664,118.18181818181819
P259,44.80286738351255,67.40088105726872,68.0
P264,38.85760257441673,65.0,85.10473235065943
P267,28.857715430861724,27.09030100334448,90.11235955056179
P268,56.62100456621004,45.392953929539296,43.682310469314075
P269,32.85509325681492,91.899852724595,46.86907020872865
P270,47.26890756302521,58.391123439667126,60.35437430786268
P271,73.38235294117646,27.545909849749584,43.606557377049185
P272,68.67469879518072,24.695121951219512,67.7639046538025
P273,83.87434554973822,33.19959879638917,47.88494077834179
P274,142.38805970149252,83.33333333333334,104.9792531120332
P279,40.49079754601227,184.375,57.89473684210527
P280,56.63082437275986,112.71585557299844,113.03116147308782
P281,1.7699115044247788,82.63473053892216,5.86080586080586
P283,54.83870967741935,32.055214723926376,55.212765957446805
P285,61.212121212121204,11.538461538461538,16.666666666666664
P286,31.127819548872182,77.6536312849162,116.34103019538189
P287,39.14027149321267,47.65342960288809,57.4
P288,38.31775700934579,39.43452380952381,43.941605839416056
P289,70.76923076923077,105.58139534883722,184.26966292134833
P292,53.826530612244895,74.33035714285714,70.94499294781383
P293,63.61031518624641,87.0604781997187,52.0
P295,79.59770114942529,60.08583690987125,73.05194805194806
P296,38.46153846153847,70.83333333333334,34.25414364640884
P298,179.16666666666669,27.73333333333333,125.86206896551724
P299,68.77828054298642,117.73743016759776,70.50359712230215
P300,61.53846153846154,68.91241578440808,84.73581213307241
P302,82.28571428571428,81.44712430426716,61.55172413793103
P304,50.37128712871287,66.92913385826772,68.53932584269663
P306,31.03756708407871,52.36013986013987,30.251256281407034
P311,93.65079365079364,62.20302375809935,21.338155515370705
P312,87.97533401849948,49.95491433724076,65.34653465346535
P313,77.29468599033817,106.18556701030928,52.295918367346935
P316,62.47207743857036,74.9802683504341,76.53142402545744
P318,132.84671532846716,87.13692946058092,119.81132075471699
P320,36.684782608695656,63.61655773420479,134.13379073756434
P321,78.8514129443938,115.14084507042253,70.34313725490196
P322,39.97155049786629,63.66197183098592,73.34905660377359
P324,70.01795332136446,108.91364902506963,70.50847457627118
P326,46.423462088698145,56.69642857142857,67.33837111670866
P327,54.064516129032256,72.74143302180686,51.90713101160862
P328,35.50135501355013,35.55992141453831,68.67469879518072
P332,118.11023622047243,135.56405353728488,47.23809523809524
P336,40.0,99.52229299363057,47.66214177978884
P338,54.62235649546828,60.789252728799326,25.649095200629425
P340,54.77338476374156,79.02439024390245,37.44588744588744
P341,57.90554414784395,42.4,48.67663981588032
P344,38.47874720357942,7.6512455516014235,36.580882352941174
P345,83.65316275764036,61.81943487250172,82.67405063291139
P348,37.59398496240601,46.26168224299065,66.38418079096046
P349,83.97905759162305,50.24813895781638,49.142857142857146
P351,15.69767441860465,86.91983122362869,51.05672969966629
P352,129.2929292929293,10.59190031152648,28.57142857142857
P354,48.07692307692308,6.7164179104477615,12.244897959183673
P357,86.31016042780749,63.67663344407531,63.601532567049816
P358,77.83251231527095,70.18348623853211,147.94520547945206
P370,31.55339805825243,71.38849929873773,27.13310580204778
P371,41.691542288557216,37.075180226570545,30.96270598438855
P374,88.03317535545023,65.42056074766354,84.29602888086643
P378,50.0,91.50246305418719,71.58218125960062
P379,32.77153558052434,46.482412060301506,62.28209191759112
P380,57.14285714285714,74.31850789096126,53.37579617834395
P381,23.427331887201735,82.87671232876713,70.06060606060606
P382,104.42655935613683,215.80756013745705,30.34188034188034
P383,45.82893347412883,47.63157894736842,47.524752475247524
P384,48.15533980582524,37.80918727915194,43.69918699186992
P392,71.73913043478261,35.51020408163265,58.25
P395,36.982520699172035,16.49484536082474,46.189224704336404
P398,60.83866382373845,47.406866325785245,43.97217928902627
P403,71.0796915167095,45.56962025316456,59.33250927070457
P404,104.82758620689656,95.14824797843666,96.43605870020964
P405,56.65158371040724,69.25031766200762,34.52088452088452
P406,55.767562879444924,67.03967446592065,47.61904761904761
P407,56.99432892249527,35.0606394707828,39.84287317620651
P409,130.01364256480218,35.65573770491803,84.1025641025641
P410,82.42424242424242,126.98412698412697,96.51162790697676
P411,72.6161369193154,4.905660377358491,59.01639344262295
P412,57.58754863813229,90.94017094017094,39.17748917748918
P413,124.22222222222221,71.72557172557173,38.53658536585366
P414,27.189988623435724,62.834224598930476,69.74652493867539
P415,102.80898876404494,30.37974683544304,16.41025641025641
P416,10.480349344978166,80.41237113402062,57.078651685393254
P417,107.42857142857143,150.35389282103137,99.84227129337539
P422,40.57142857142857,61.1764705882353,20.714285714285715
P423,53.275401069518715,65.67796610169492,59.158945117605136
P424,58.326629123089305,38.04004214963119,29.590288315629742
P425,66.58506731946144,19.83663943990665,39.82947624847747
P426,63.53333333333333,74.48979591836735,77.58169934640523
P427,78.25661116552399,90.07407407407408,73.35375191424195
